0,2871848,76.32,0
2,3455,77.74,0
2,374,86.265,0
2,511,82.79,0
2,759,80.785,0
0,1918480,70.26,0
2,241,77.94,0
3,579,73.66,0
2,241,77.94,0
2,241,77.94,0
2,241,77.94,0
0,4615616,89.585,0
0,1059840,83.78,0
1,55296,168.905,0
1,48640,168.71,0
1,61440,169.085,0
1,23782,16.585,0
1,13100,17.095,0
1,26608,17.745,0
1,13268,17.095,0
1,29438,16.18,0
1,29367,15.71,0
1,20860,17.745,0
0,1593512,67.725,0
2,384,85.305,0
0,2759680,67.775,0
0,3379712,60.975,0
0,3498512,80.815,0
0,2426024,75.335,0
0,2799616,86.88,0
